Occurrences,Rank,Lemma,POS,SAMER  Avg,MSA-DA,Class,Syllable Count,MSA-DA Score,Rank Score,Class Score,Compound Score,BAREC Level E1,numeric barec level
"7,583",126,أَنْتَ,pron,1,D=,Closed,2,1,2,1,11,ج,3
"7,581",127,أَخَذ,verb,1,D=,Open,2,1,2,2,12,ج,3
"7,539",128,خَرَج,verb,1,D~,Open,3,2,2,2,14,د,4
"7,522",129,عَالَم,noun,1,D=,Open,2,1,2,2,12,ج,3
"7,505",130,أَمْس,noun,1,MSA,Open,1,4,2,2,14,د,4
"7,504",131,رَأْس,noun,1,D~,Open,1,2,2,2,12,ج,3
"7,471",132,دُوَلِيّ,adj,3,D=,Open,2,1,2,2,28,ي,10
"7,379",133,شَرِكَة,noun,1,D=,Open,3,1,2,2,13,د,4
"7,362",134,ذَكَر,verb,2,D=,Open,3,1,2,2,21,ح,8
"7,317",135,وَ,conj,1,D=,Closed,1,1,2,1,10,ب,2
"7,241",136,وَصَل,verb,1,D=,Open,3,1,2,2,13,د,4
"7,227",137,قَام,verb,2,D~,Open,2,2,2,2,22,ح,8
"7,226",138,صَاحِب,noun,1,D=,Open,2,1,2,2,12,ج,3
"7,221",139,مَنْزِل,noun,1,MSA,Open,2,4,2,2,15,ه,5
"7,190",140,أَعْلَن,verb,3,MSA,Open,2,4,2,2,37,م,13
"7,150",141,دَعَا,verb,2,MSA,Open,2,4,2,2,26,ي,10
"7,127",142,لَوْ,conj_sub,1,D=,Closed,1,1,2,1,10,ب,2
"7,125",143,مَرَّة,noun,1,D=,Open,2,1,2,2,12,ج,3
"7,101",144,مَاضِي,adj,3,MSA,Open,2,4,2,2,37,م,13
"7,074",145,مَكَان,noun,1,D=,Open,2,1,2,2,12,ج,3
"7,046",146,ثَلَاث,noun_num,1,D~,Closed,2,2,2,1,12,ج,3
"7,019",147,لَدَى,noun,3,MSA,Closed,2,4,2,1,34,ل,12
"6,999",148,أَلْف,noun_num,1,D=,Closed,1,1,2,1,10,ب,2
"6,989",149,أَضَاف,verb,2,MSA,Open,3,4,2,2,27,ي,10
"6,948",150,صَوْت,noun,3,D=,Open,1,1,2,2,27,ي,10
"6,810",151,ذُو,noun,3,MSA,Open,1,4,2,2,36,ل,12
"6,736",152,بَقِي,verb,1,D~,Open,3,2,2,2,14,د,4
"6,690",153,خَاصّ,adj,2,D=,Open,1,1,2,2,19,ز,7
"6,666",154,شَرْق,noun,2,D~,Open,1,2,2,2,21,ح,8
"6,661",155,أَمْكَن,verb,3,D=,Open,2,1,2,2,28,ي,10
"6,645",156,وِلَايَة,noun,4,D=,Open,3,1,2,2,37,م,13
"6,636",157,أَتَى,verb,2,MSA,Open,2,4,2,2,26,ي,10
"6,633",158,سِيَاسِيّ,noun,4,D=,Open,3,1,2,2,37,م,13
"6,604",159,غُرْفَة,noun,1,MSA,Open,2,4,2,2,15,ه,5
"6,482",160,أَشَار,verb,4,D~,Open,3,2,2,2,41,م,13
"6,458",161,أَصْبَح,verb,2,D=,Closed,2,1,2,1,18,و,6
"6,428",162,سَأَل,verb,1,D=,Open,2,1,2,2,12,ج,3
"6,369",163,جَعَل,verb,1,MSA,Open,3,4,2,2,16,ه,5
"6,331",164,شَهْر,noun,1,D=,Open,1,1,2,2,11,ج,3
"6,324",165,بَلَغ,verb,3,MSA,Open,3,4,2,2,38,م,13
"6,311",166,بَيْت,noun,1,D=,Open,1,1,2,2,11,ج,3
"6,298",167,وَضْع,noun,2,MSA,Open,1,4,2,2,25,ط,9
"6,287",168,حَدِيث,noun,1,D=,Open,2,1,2,2,12,ج,3
"6,265",169,أَخِير,adj,2,D=,Open,2,1,2,2,20,ز,7
"6,222",170,نَظَر,noun,1,MSA,Open,2,4,2,2,15,ه,5
"6,205",171,مَاذَا,pron_rel,1,MSA,Closed,2,4,2,1,14,د,4
"6,162",172,هَدَف,noun,1,D=,Open,2,1,2,2,12,ج,3
"6,142",173,كَمَا,conj,3,MSA,Closed,2,4,2,1,34,ل,12
"6,141",174,أَحَد,noun_num,1,D=,Closed,2,1,2,1,11,ج,3
"6,121",175,أَجَاب,verb,2,D=,Open,3,1,2,2,21,ح,8
"6,096",176,ٱِتِّحَاد,noun_prop,3,D=,Open,3,1,2,2,29,ك,11
"6,008",177,هُنَا,adv,1,D~,Closed,2,2,2,1,12,ج,3
